Number of Records,Index Type,Query Time (s),EXPLAIN Plan
50000,No Index,0.005864453315734863,"[('Sort  (cost=1903.99..1904.00 rows=1 width=3175) (actual time=392.522..392.557 rows=3 loops=1)',), ('  Sort Key: p.name, ta.name, t.name',), ('  Sort Method: quicksort  Memory: 25kB',), ('  Buffers: shared hit=1754',), ('  ->  Hash Join  (cost=1226.49..1903.98 rows=1 width=3175) (actual time=272.458..392.516 rows=3 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=1754',), ('        ->  Seq Scan on task t  (cost=0.00..661.26 rows=4326 width=1086) (actual time=0.010..63.940 rows=50000 loops=1)',), ('              Buffers: shared hit=618',), ('        ->  Hash  (cost=1226.48..1226.48 rows=1 width=2097) (actual time=262.770..262.793 rows=1 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=1136',), ('              ->  Hash Join  (cost=462.31..1226.48 rows=1 width=2097) (actual time=137.134..262.776 rows=1 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=1136',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..750.75 rows=3575 width=1040) (actual time=0.012..64.614 rows=50000 loops=1)',), ('                          Buffers: shared hit=715',), ('                    ->  Hash  (cost=462.30..462.30 rows=1 width=1065) (actual time=132.949..132.963 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=421',), ('                          ->  Hash Join  (cost=8.44..462.30 rows=1 width=1065) (actual time=55.520..132.942 rows=1 loops=1)',), ('                                Hash Cond: (p.user_id = ua.id_user)',), ('                                Buffers: shared hit=421',), ('                                ->  Seq Scan on project p  (cost=0.00..446.19 rows=2919 width=1040) (actual time=0.007..65.508 rows=50000 loops=1)',), ('                                      Buffers: shared hit=417',), ('                                ->  Hash  (cost=8.43..8.43 rows=1 width=33) (actual time=0.065..0.070 rows=1 loops=1)',), ('                                      Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                      Buffers: shared hit=4',), ('                                      ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.41..8.43 rows=1 width=33) (actual time=0.048..0.053 rows=1 loops=1)',), (""                                            Index Cond: ((email)::text = 'idbwnvaqyk@example.com'::text)"",), ('                                            Buffers: shared hit=4',), ('Planning Time: 0.348 ms',), ('Execution Time: 392.617 ms',)]"
50000,BTREE,0.00558004379272461,"[('Sort  (cost=2498.40..2498.40 rows=1 width=2175) (actual time=392.407..392.439 rows=1 loops=1)',), ('  Sort Key: p.name, ta.name, t.name',), ('  Sort Method: quicksort  Memory: 25kB',), ('  Buffers: shared hit=1754',), ('  ->  Hash Join  (cost=1820.90..2498.39 rows=1 width=2175) (actual time=286.085..392.421 rows=1 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=1754',), ('        ->  Seq Scan on task t  (cost=0.00..661.26 rows=4326 width=1086) (actual time=0.009..65.199 rows=50000 loops=1)',), ('              Buffers: shared hit=618',), ('        ->  Hash  (cost=1820.88..1820.88 rows=1 width=1097) (actual time=260.742..260.764 rows=2 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=1136',), ('              ->  Hash Join  (cost=1056.72..1820.88 rows=1 width=1097) (actual time=240.762..260.739 rows=2 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=1136',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..750.75 rows=3575 width=1040) (actual time=0.006..65.158 rows=50000 loops=1)',), ('                          Buffers: shared hit=715',), ('                    ->  Hash  (cost=1056.71..1056.71 rows=1 width=65) (actual time=129.875..129.888 rows=2 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=421',), ('                          ->  Hash Join  (cost=8.44..1056.71 rows=1 width=65) (actual time=50.023..129.871 rows=2 loops=1)',), ('                                Hash Cond: (p.user_id = ua.id_user)',), ('                                Buffers: shared hit=421',), ('                                ->  Seq Scan on project p  (cost=0.00..917.00 rows=50000 width=40) (actual time=0.004..64.043 rows=50000 loops=1)',), ('                                      Buffers: shared hit=417',), ('                                ->  Hash  (cost=8.43..8.43 rows=1 width=33) (actual time=0.058..0.063 rows=1 loops=1)',), ('                                      Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                      Buffers: shared hit=4',), ('                                      ->  Index Scan using idx_email_btree on user_app ua  (cost=0.41..8.43 rows=1 width=33) (actual time=0.028..0.032 rows=1 loops=1)',), (""                                            Index Cond: ((email)::text = 'mmdijksmda@example.com'::text)"",), ('                                            Buffers: shared hit=4',), ('Planning:',), ('  Buffers: shared hit=12',), ('Planning Time: 0.413 ms',), ('Execution Time: 392.485 ms',)]"
50000,HASH,0.005240631103515625,"[('Sort  (cost=1903.64..1903.65 rows=2 width=4178) (actual time=127.964..127.994 rows=0 loops=1)',), ('  Sort Key: p.name, ta.name, t.name',), ('  Sort Method: quicksort  Memory: 25kB',), ('  Buffers: shared hit=421',), ('  ->  Hash Join  (cost=1226.13..1903.63 rows=2 width=4178) (actual time=127.946..127.974 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=421',), ('        ->  Seq Scan on task t  (cost=0.00..661.26 rows=4326 width=1086) (actual time=0.005..0.006 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=1226.11..1226.11 rows=2 width=3100) (actual time=127.933..127.955 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=420',), ('              ->  Hash Join  (cost=461.93..1226.11 rows=2 width=3100) (actual time=127.931..127.951 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=420',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..750.75 rows=3575 width=1040) (actual time=0.004..0.005 rows=1 loops=1)',), ('                          Buffers: shared hit=1',), ('                    ->  Hash  (cost=461.90..461.90 rows=2 width=2068) (actual time=127.918..127.932 rows=0 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('                          Buffers: shared hit=419',), ('                          ->  Hash Join  (cost=8.03..461.90 rows=2 width=2068) (actual time=127.915..127.927 rows=0 loops=1)',), ('                                Hash Cond: (p.user_id = ua.id_user)',), ('                                Buffers: shared hit=419',), ('                                ->  Seq Scan on project p  (cost=0.00..446.19 rows=2919 width=1040) (actual time=0.003..63.697 rows=50000 loops=1)',), ('                                      Buffers: shared hit=417',), ('                                ->  Hash  (cost=8.02..8.02 rows=1 width=1036) (actual time=0.016..0.022 rows=1 loops=1)',), ('                                      Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                      Buffers: shared hit=2',), ('                                      ->  Index Scan using idx_email_hash on user_app ua  (cost=0.00..8.02 rows=1 width=1036) (actual time=0.009..0.013 rows=1 loops=1)',), (""                                            Index Cond: ((email)::text = 'goutfybfom@example.com'::text)"",), ('                                            Buffers: shared hit=2',), ('Planning Time: 0.156 ms',), ('Execution Time: 128.024 ms',)]"
100000,No Index,0.00848393440246582,"[('Sort  (cost=6262.88..6262.89 rows=1 width=1210) (actual time=261.706..261.736 rows=0 loops=1)',), ('  Sort Key: p.name, ta.name, t.name',), ('  Sort Method: quicksort  Memory: 25kB',), ('  Buffers: shared hit=840',), ('  ->  Hash Join  (cost=4908.99..6262.87 rows=1 width=1210) (actual time=261.698..261.725 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=840',), ('        ->  Seq Scan on task t  (cost=0.00..1321.45 rows=8645 width=1086) (actual time=0.005..0.006 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=4908.98..4908.98 rows=1 width=132) (actual time=261.684..261.706 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=839',), ('              ->  Hash Join  (cost=2104.97..4908.98 rows=1 width=132) (actual time=261.682..261.701 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=839',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..2429.00 rows=100000 width=75) (actual time=0.002..0.004 rows=1 loops=1)',), ('                          Buffers: shared hit=1',), ('                    ->  Hash  (cost=2104.96..2104.96 rows=1 width=65) (actual time=261.674..261.688 rows=0 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('                          Buffers: shared hit=838',), ('                          ->  Hash Join  (cost=8.45..2104.96 rows=1 width=65) (actual time=261.671..261.682 rows=0 loops=1)',), ('                                Hash Cond: (p.user_id = ua.id_user)',), ('                                Buffers: shared hit=838',), ('                                ->  Seq Scan on project p  (cost=0.00..1834.00 rows=100000 width=40) (actual time=0.002..128.397 rows=100000 loops=1)',), ('                                      Buffers: shared hit=834',), ('                                ->  Hash  (cost=8.44..8.44 rows=1 width=33) (actual time=0.025..0.031 rows=1 loops=1)',), ('                                      Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                      Buffers: shared hit=4',), ('                                      ->  Index Scan using uniq_user_app_email on user_app ua  (cost=0.42..8.44 rows=1 width=33) (actual time=0.015..0.020 rows=1 loops=1)',), (""                                            Index Cond: ((email)::text = 'yjhqyaijne@example.com'::text)"",), ('                                            Buffers: shared hit=4',), ('Planning:',), ('  Buffers: shared hit=24',), ('Planning Time: 0.265 ms',), ('Execution Time: 261.766 ms',)]"
100000,BTREE,0.00834357738494873,"[('Sort  (cost=4986.13..4986.13 rows=1 width=2175) (actual time=263.097..263.127 rows=0 loops=1)',), ('  Sort Key: p.name, ta.name, t.name',), ('  Sort Method: quicksort  Memory: 25kB',), ('  Buffers: shared hit=840',), ('  ->  Hash Join  (cost=3632.24..4986.12 rows=1 width=2175) (actual time=263.065..263.093 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=840',), ('        ->  Seq Scan on task t  (cost=0.00..1321.45 rows=8645 width=1086) (actual time=0.007..0.009 rows=1 loops=1)',), ('              Buffers: shared hit=1',), ('        ->  Hash  (cost=3632.22..3632.22 rows=1 width=1097) (actual time=263.049..263.070 rows=0 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('              Buffers: shared hit=839',), ('              ->  Hash Join  (cost=2104.97..3632.22 rows=1 width=1097) (actual time=263.046..263.065 rows=0 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=839',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..1500.45 rows=7145 width=1040) (actual time=0.004..0.005 rows=1 loops=1)',), ('                          Buffers: shared hit=1',), ('                    ->  Hash  (cost=2104.96..2104.96 rows=1 width=65) (actual time=263.034..263.047 rows=0 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 8kB',), ('                          Buffers: shared hit=838',), ('                          ->  Hash Join  (cost=8.45..2104.96 rows=1 width=65) (actual time=263.031..263.042 rows=0 loops=1)',), ('                                Hash Cond: (p.user_id = ua.id_user)',), ('                                Buffers: shared hit=838',), ('                                ->  Seq Scan on project p  (cost=0.00..1834.00 rows=100000 width=40) (actual time=0.002..129.600 rows=100000 loops=1)',), ('                                      Buffers: shared hit=834',), ('                                ->  Hash  (cost=8.44..8.44 rows=1 width=33) (actual time=0.033..0.038 rows=1 loops=1)',), ('                                      Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                      Buffers: shared hit=4',), ('                                      ->  Index Scan using idx_email_btree on user_app ua  (cost=0.42..8.44 rows=1 width=33) (actual time=0.024..0.027 rows=1 loops=1)',), (""                                            Index Cond: ((email)::text = 'brjkapmhxz@example.com'::text)"",), ('                                            Buffers: shared hit=4',), ('Planning:',), ('  Buffers: shared hit=12',), ('Planning Time: 0.259 ms',), ('Execution Time: 263.163 ms',)]"
100000,HASH,0.009128308296203614,"[('Sort  (cost=3796.90..3796.91 rows=1 width=3175) (actual time=761.949..761.980 rows=0 loops=1)',), ('  Sort Key: p.name, ta.name, t.name',), ('  Sort Method: quicksort  Memory: 25kB',), ('  Buffers: shared hit=3500',), ('  ->  Hash Join  (cost=2443.01..3796.89 rows=1 width=3175) (actual time=761.936..761.964 rows=0 loops=1)',), ('        Hash Cond: (t.table_id = ta.id_table)',), ('        Buffers: shared hit=3500',), ('        ->  Seq Scan on task t  (cost=0.00..1321.45 rows=8645 width=1086) (actual time=0.006..126.719 rows=100000 loops=1)',), ('              Buffers: shared hit=1235',), ('        ->  Hash  (cost=2443.00..2443.00 rows=1 width=2097) (actual time=507.095..507.119 rows=1 loops=1)',), ('              Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('              Buffers: shared hit=2265',), ('              ->  Hash Join  (cost=915.75..2443.00 rows=1 width=2097) (actual time=339.185..507.087 rows=1 loops=1)',), ('                    Hash Cond: (ta.project_id = p.id_project)',), ('                    Buffers: shared hit=2265',), ('                    ->  Seq Scan on table_app ta  (cost=0.00..1500.45 rows=7145 width=1040) (actual time=0.004..127.217 rows=100000 loops=1)',), ('                          Buffers: shared hit=1429',), ('                    ->  Hash  (cost=915.73..915.73 rows=1 width=1065) (actual time=252.603..252.619 rows=1 loops=1)',), ('                          Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                          Buffers: shared hit=836',), ('                          ->  Hash Join  (cost=8.03..915.73 rows=1 width=1065) (actual time=123.109..252.607 rows=1 loops=1)',), ('                                Hash Cond: (p.user_id = ua.id_user)',), ('                                Buffers: shared hit=836',), ('                                ->  Seq Scan on project p  (cost=0.00..892.38 rows=5838 width=1040) (actual time=0.003..125.763 rows=100000 loops=1)',), ('                                      Buffers: shared hit=834',), ('                                ->  Hash  (cost=8.02..8.02 rows=1 width=33) (actual time=0.016..0.023 rows=1 loops=1)',), ('                                      Buckets: 1024  Batches: 1  Memory Usage: 9kB',), ('                                      Buffers: shared hit=2',), ('                                      ->  Index Scan using idx_email_hash on user_app ua  (cost=0.00..8.02 rows=1 width=33) (actual time=0.009..0.012 rows=1 loops=1)',), (""                                            Index Cond: ((email)::text = 'vxloebgtqm@example.com'::text)"",), ('                                            Buffers: shared hit=2',), ('Planning Time: 0.182 ms',), ('Execution Time: 762.025 ms',)]"
